onset_eyetrackfile	event
4284.9	heat
5433.2	heat
6728.3	heat
8087.7	heat
9193.9	heat
10363.2	heat
11701.5	heat
12828.7	heat
14314.3	heat
15631.5	heat
16863.5	heat
18327.9	heat
19539.2	heat
20940.9	heat
22320.5	heat
23594.3	heat
25037.9	heat
26291.2	heat
27713.5	heat
29219.9	heat
