onset_eyetrackfile	event
2872.2	heat
4062.5	heat
5168.7	heat
6590.3	heat
7907.8	heat
9288.2	heat
10689.7	heat
12049.1	heat
13387.5	heat
14535.7	heat
15768.1	heat
16937.1	heat
18211.4	heat
19676.0	heat
20887.2	heat
22182.6	heat
23668.1	heat
25111.6	heat
26238.8	heat
27492.2	heat
