onset_eyetrackfile	event
10844.9	heat
12351.6	heat
13732.1	heat
15154.7	heat
16387.0	heat
17682.0	heat
19083.3	heat
20357.6	heat
21717.1	heat
23160.7	heat
24625.4	heat
25942.8	heat
27070.0	heat
28239.3	heat
29345.2	heat
30535.5	heat
32021.2	heat
33359.2	heat
34612.4	heat
35760.7	heat
