onset_eyetrackfile	event
3271.5	heat
4757.0	heat
6137.5	heat
7306.3	heat
8749.9	heat
10256.5	heat
11404.8	heat
12532.1	heat
13764.4	heat
14954.8	heat
16356.3	heat
17673.8	heat
18780.0	heat
20033.4	heat
21392.3	heat
22687.8	heat
24152.3	heat
25426.7	heat
26765.1	heat
28187.7	heat
