pupil_size	blinks	artifacts_manual
2527.299556307634	0	0
2306.9901462475796	0	0
2109.040058427019	1	0
1984.0417964557107	0	0
1958.8330891595542	0	0
1966.5944883939294	1	0
1959.1842566438481	0	0
1926.9624662122492	0	0
1874.6922762954414	0	0
1813.1786759474091	0	0
1717.6926666133447	0	0
1617.1059960724908	0	0
1559.1409567882238	0	0
1532.2478777314382	0	0
1544.5110636790305	1	1
1579.2914200171876	1	1
1604.8939581510217	1	1
1623.8284210451131	1	1
1637.9182436975918	1	1
1648.488229181653	1	1
1656.5009032712048	1	1
1662.6555818752927	1	1
1667.460347742349	1	1
1671.284344596856	1	1
1674.395771053596	1	1
1676.9894848121605	1	1
1679.2070582782121	1	1
1681.1513498252568	1	1
1682.897090436008	1	1
1684.4985753475669	1	1
1685.995252358755	1	1
1687.415781973053	1	1
1688.7809872651135	1	1
1690.1059970842355	1	1
1691.4018031828343	1	1
1692.6763915364968	1	1
1693.9355642961148	1	1
1695.1835369710648	1	1
1696.4233723081868	1	1
1697.6572955233116	1	1
1698.8869233303749	1	1
1700.1134303408062	1	1
1701.337669959763	1	1
1702.560262222386	1	1
1703.781657610574	1	1
1705.002183418584	1	1
1706.2220774396135	1	1
1707.4415124405327	1	1
1708.6606139438206	1	1
1709.8794731468965	1	1
1711.0981563085638	1	1
1712.3167115686613	1	1
1713.5351739028285	1	1
1714.7535687223556	1	1
1715.9719144896253	1	1
1717.190224618344	1	1
1718.4085088541397	1	1
1719.6267742776256	1	1
1720.8450260331686	1	1
1722.0632678583695	1	1
1723.2815024687548	1	1
1724.4997318372696	1	1
1725.7179573973428	1	1
1726.936180190421	1	1
1728.1544009731597	1	1
1729.3726202953012	1	1
1730.5908385562568	1	1
1731.809056046216	1	1
1733.027272976013	1	1
1734.2454894988284	1	1
1735.4637057259547	1	1
1736.6819217382501	1	1
1737.9001375944617	1	1
1739.1183533372719	1	1
1740.3365689976908	1	1
1741.5547845982494	1	1
1742.7730001553166	1	1
1743.9912156807854	1	1
1745.209431183297	1	1
1746.427646669129	1	1
1747.6458621428428	1	1
1748.8640776077518	1	1
1750.082293066264	1	1
1751.3005085201285	1	1
1752.5187239706163	1	1
1753.7369394186508	1	1
1754.9551548649029	1	1
1756.17337030986	1	1
1757.3915857538764	1	1
1758.609801197209	1	1
1759.8280166400448	1	1
1761.0462320825197	1	1
1762.2644475247328	1	1
1763.4826629667552	1	1
1764.7008784086393	1	1
1765.9190938504228	1	1
1767.1373092921335	1	1
1768.3555247337908	1	1
1769.5737401754097	1	1
1770.7919556170007	1	1
1772.010171058571	1	1
1773.2283865001266	1	1
1774.4466019416716	1	1
1775.6648173832089	1	1
1776.8830328247404	1	1
1778.101248266268	1	1
1779.3194637077925	1	1
1780.5376791493145	1	1
1781.755894590835	1	1
1782.9741100323547	1	1
1784.1923254738733	1	1
1785.4105409153913	1	1
1786.6287563569088	1	1
1787.846971798426	1	1
1789.065187239943	1	1
1790.2834026814598	1	1
1791.5016181229767	1	1
1792.7198335644932	1	1
1793.9380490060098	1	1
1795.1562644475264	1	1
1796.3744798890427	1	1
1797.5926953305593	1	1
1798.8109107720759	1	1
1800.0291262135925	1	1
1801.2473416551088	1	1
1802.4655570966254	1	1
1803.683772538142	1	1
1804.9019879796585	1	1
1806.120203421175	1	1
1807.3384188626915	1	1
1808.5566343042078	1	1
1809.7748497457242	1	1
1810.9930651872405	1	1
1812.2112806287569	1	1
1813.429496070273	1	1
1814.647711511789	1	1
1815.8659269533055	1	1
1817.084142394822	1	1
1818.3023578363386	1	1
1819.520573277855	1	1
1820.7387887193715	1	1
1821.9570041608881	1	1
1823.1752196024045	1	1
1824.3934350439208	1	1
1825.6116504854372	1	1
1826.8298659269535	1	1
1828.0480813684696	1	1
1829.2662968099858	1	1
1830.484512251502	1	1
1831.7027276930187	1	1
1832.920943134535	1	1
1834.1391585760516	1	1
1835.3573740175682	1	1
1836.5755894590848	1	1
1837.7938049006011	1	1
1839.0120203421177	1	1
1840.2302357836343	1	1
1841.4484512251508	1	1
1842.6666666666672	1	1
1843.8848821081838	1	1
1845.1030975497001	1	1
1846.3213129912165	1	1
1847.5395284327328	1	1
1848.7577438742492	1	1
1849.9759593157653	1	1
1851.1941747572814	1	1
1852.4123901987978	1	1
1853.6306056403143	1	1
1854.848821081831	1	1
1856.0670365233473	1	1
1857.2852519648638	1	1
