onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr
20.0197880268097	1	heat	48	1	0	Patch1	te-25	2542.0
31.5023748874664	1	heat	48	2	0	Patch1	te-25	3690.2
44.4563219547272	1	heat	48	3	0	Patch1	te-25	4985.6
58.0509839057922	1	heat	48	4	0	Patch1	te-25	6345.1
69.1038060188293	1	heat	48	5	0	Patch1	te-25	7450.4
80.7968499660492	1	heat	48	6	0	Patch1	te-25	8619.7
94.1811738014221	1	heat	48	7	0	Patch1	te-25	9958.1
105.453639984131	1	heat	48	8	0	Patch1	te-25	11085.4
120.309813022614	1	heat	48	9	0	Patch1	te-25	12571.0
133.484521865845	1	heat	48	10	0	Patch1	te-25	13888.4
145.808092832565	1	heat	48	11	0	Patch1	te-25	15120.8
160.454242944717	1	heat	48	12	0	Patch1	te-25	16585.4
172.564015865326	1	heat	48	13	0	Patch1	te-25	17796.4
186.579075813293	1	heat	48	14	0	Patch1	te-25	19197.9
200.38427901268	1	heat	48	15	0	Patch1	te-25	20578.4
213.127972841263	1	heat	48	16	0	Patch1	te-25	21852.8
227.56342291832	1	heat	48	17	0	Patch1	te-25	23296.3
240.097146987915	1	heat	48	18	0	Patch1	te-25	24549.7
254.322615861893	1	heat	48	19	0	Patch1	te-25	25972.2
269.388720989227	1	heat	48	20	0	Patch1	te-25	27478.9
