onset_eyetrackfile	event
10050.6	heat
11240.9	heat
12684.5	heat
13916.8	heat
15297.3	heat
16445.6	heat
17868.1	heat
19185.5	heat
20587.0	heat
21840.4	heat
23114.2	heat
24220.4	heat
25685.0	heat
27023.4	heat
28234.7	heat
29741.3	heat
31226.9	heat
32354.2	heat
33523.5	heat
34818.9	heat
