onset_eyetrackfile	event
3997.2	heat
5377.7	heat
6863.3	heat
8011.6	heat
9476.1	heat
10793.2	heat
11962.4	heat
13469.0	heat
14574.3	heat
15996.9	heat
17187.2	heat
18630.4	heat
19925.8	heat
21200.0	heat
22432.4	heat
23833.9	heat
25172.3	heat
26383.6	heat
27510.8	heat
28764.2	heat
