pupil_size	blinks	artifacts_manual
2704.9026593682597	0	0
2721.10444630924	0	0
2735.618729929131	0	0
2746.208373607268	0	0
2750.4338786755256	0	1
2751.460611013655	0	1
2752.357821626888	0	1
2753.160928183558	0	1
2753.8956627438765	0	1
2754.5807202180386	0	1
2755.2296825295457	0	1
2755.852416527191	0	1
2756.4560895250274	0	1
2757.045906994216	0	1
2757.6256483332722	0	1
2758.1980558605765	0	1
2758.765117065979	0	1
2759.328269172097	0	1
2759.888547059659	0	1
2760.446689782034	0	1
2761.0032166318924	0	1
2761.5584805891167	0	1
2762.1127046510614	0	1
2762.666004784433	0	1
2763.218401861099	0	1
2763.7698238063144	0	1
2764.3200981804657	0	1
2764.8689344308223	0	1
2765.415893986554	0	1
2765.960345119072	0	1
2766.501397921711	0	1
2767.0378127165786	0	1
2767.567872461389	0	1
2768.0892060238352	0	1
2768.5985441341018	0	1
2769.0913828970756	0	1
2769.5615202314216	0	1
2770.0004175237837	0	1
2770.396320796715	0	1
2770.733050937029	0	1
2770.988338469502	0	1
2771.131531483416	0	1
2771.120440801551	0	1
2770.8969976823923	0	1
2770.3812771269318	0	1
2769.4632716422293	0	1
2767.9915687808725	0	1
2765.757767098333	0	1
2762.475026549227	0	1
2757.801431039064	0	0
2751.524877605546	0	0
2743.629824622353	0	0
2734.3329226002625	0	0
2724.1696975290192	0	0
2713.4835851278563	0	0
2702.4846706975904	1	0
2691.9988007497113	1	0
2683.3981961303866	0	0
2677.3134407756265	0	0
2672.5475017457848	0	0
2667.400485125143	0	0
2660.7250903758622	0	0
2651.602676165937	0	0
2639.6089452864203	0	0
2624.5644251982453	0	0
2606.3101470231763	0	0
2585.077250441476	0	0
2561.536504728137	0	0
2536.4556495166603	0	0
2510.546833968334	0	0
2484.2311409864624	0	0
2457.14157358745	0	0
2429.3032212456433	1	0
2402.4272989838128	1	0
2378.487043119995	0	0
2357.8010520050457	0	0
2339.3331910318047	0	0
2322.0060613828723	0	0
2305.194177840812	0	0
2288.453742170161	0	0
2271.6828143257676	0	0
2255.110820329861	0	0
2239.0133924734296	0	0
2223.663545281395	0	0
2209.17965759718	0	0
2195.794967781073	0	0
2183.5470751822745	0	0
2172.256078919056	0	0
2161.917759473637	0	0
2152.677413288522	0	0
2144.7933450984756	0	0
2138.0459071120263	0	0
2132.0493963412177	0	0
2126.7784408009215	0	0
2122.050765868876	0	0
2117.8429382282693	0	0
2114.3136851186464	0	0
2111.3313401192386	0	0
2108.923451473363	0	0
2107.279617476176	0	0
2106.436496317083	0	0
2106.513159112738	0	0
2107.6461518996985	0	0
2109.694776214499	0	0
2112.355263342493	0	0
2115.4382824358645	0	0
2118.9009159647726	0	0
2122.6621246694317	0	0
2126.980373320778	0	0
2132.119997494803	0	0
2137.966712372016	0	0
2144.6333967262894	0	0
2152.188668677095	0	0
2160.6382170594857	0	0
2169.813885458457	1	0
2179.030437382498	0	0
2187.8813094503043	0	0
2196.3339986769574	0	0
2203.997668945416	0	0
2210.606123694483	0	0
2216.4021055784624	0	0
2221.5961961543558	0	0
2226.337027648238	0	0
2230.70084973303	0	0
2234.7251085961525	0	0
2238.412301067714	0	0
2241.7302316053697	0	0
2244.866009707077	0	0
2247.7564169227117	0	0
2250.132862354195	0	0
2252.034091439944	0	0
2253.5528626865594	0	0
2254.8969570112004	0	0
2256.20471458093	0	0
2257.559273398117	0	0
2258.894201784995	0	0
2259.883736491395	0	0
2260.578262606984	0	0
2261.2036505218757	0	0
2261.8499990544133	0	0
2262.5581021587127	0	0
2263.426572068368	0	0
2264.519064457729	0	0
2265.793636830722	0	0
2267.1756249489263	0	0
2268.6528825044948	0	0
2270.2745309681154	0	0
2272.1045531650534	0	0
2274.2541097842704	0	0
2276.60993829772	0	0
2278.796964364995	0	0
2280.6543197560864	0	0
2282.4503650866045	0	0
2284.2413017710364	0	0
2285.8769565223342	0	0
2287.5514093157935	1	0
2289.4112711695607	1	0
2291.5193117785825	1	0
2293.7065333781215	0	0
2295.3231967329557	0	0
2296.0982671212278	0	0
2296.420291580612	0	0
2296.6311876464147	0	0
2296.855586128371	0	0
2297.0908520043577	0	0
2297.4383932212622	0	0
2298.2427536125874	0	0
2299.5095281916288	0	0
2300.983132351492	0	0
2302.635118202769	0	0
2304.609784365974	0	0
2306.827330033571	0	0
2309.078565964343	0	0
2311.3893504779026	0	0
2313.817402011022	0	0
2316.406777531666	0	0
2319.2953315266013	0	0
2322.420131252983	0	0
2325.588172756866	0	0
2328.996869402192	0	0
2332.7912105142523	0	0
2336.769910980597	0	0
2341.00797189483	0	0
2345.60708888161	0	0
2350.448807941539	0	0
2355.4653758719187	0	0
2360.581304581488	0	0
2365.911450417219	0	0
2371.4897934571704	0	0
2377.1700104428064	0	0
2382.919187883742	0	0
2388.582854445824	0	0
2394.0491998590937	0	0
2399.3662224680106	0	0
2404.6437449861096	0	0
2410.0606551310448	1	0
2415.4120319117674	1	0
2420.08263717231	0	0
2423.8232393604176	0	0
2426.850908529967	0	0
2429.245685851332	0	0
2430.86808577775	0	0
2431.910824038976	0	0
2433.073039474192	0	0
2434.680201363031	0	0
2436.383103714132	0	0
2437.9195879067665	0	0
2439.344871280577	0	0
2441.062961461928	0	0
2443.6623897290733	0	0
2447.282045242168	0	0
2451.419621236522	0	0
2455.4117168087823	0	1
2458.9341276732457	0	1
2462.0137990316557	1	1
2464.7718013102576	1	1
2467.2960973226645	1	1
2469.650595793936	1	1
2471.8817291308574	1	1
2474.0232324517997	1	1
2476.099615755173	1	1
2478.1286865974944	1	1
2480.1233829263206	1	1
2482.0931047113654	1	1
2484.044681431197	1	1
2485.983074993556	1	1
2487.9118904369684	1	1
2489.8337469773523	1	1
