pupil_size	blinks	artifacts_manual
2950.6803010027274	0	0
2947.4013480428184	0	0
2944.3180902815784	0	0
2941.6792695810414	0	0
2939.341942336572	0	0
2937.2971204396968	0	0
2935.4887283971616	0	0
2933.8335629038356	0	0
2932.392846973253	0	0
2931.2756068340395	0	0
2930.3925822731685	0	0
2929.6271573626027	0	0
2928.977744501929	0	0
2928.609083239701	0	0
2928.894927112736	0	0
2930.044814228849	0	0
2932.0741716368016	0	0
2934.780172034662	0	0
2938.003900114932	0	0
2941.922769639597	0	0
2946.5284302992286	0	0
2951.6516393741113	0	0
2957.1764225297284	0	0
2962.9766749981086	0	0
2969.109031211082	0	0
2975.4584582982757	0	0
2982.0094586256832	0	0
2988.870205822353	0	0
2995.7947873612306	0	0
3002.5181297176086	0	0
3008.9088336076234	0	0
3015.212960910626	0	0
3021.8735115554505	0	0
3028.907010128668	0	0
3036.05959333126	0	0
3043.2440412567244	0	0
3050.5050692181803	0	0
3057.766618926122	0	0
3064.9784169036307	0	0
3072.2394556770873	0	0
3079.6023336304	0	0
3087.1558620010164	0	0
3095.0856679517938	0	0
3103.050022341381	0	0
3110.60782745896	0	0
3117.9451506492114	0	0
3125.0967107154493	0	0
3131.9751824454256	0	0
3138.7224442816896	0	0
3145.3896766244866	0	0
3151.5309317523224	0	0
3156.3116215713926	0	0
3159.524580941425	1	0
3161.8036815589608	1	0
3164.161025681682	1	0
3167.5932751127816	0	0
3172.2209934789107	0	0
3177.1802308224037	0	0
3181.8235138663426	0	0
3186.114127714762	0	0
3190.056252525611	0	0
3193.772587087561	0	0
3197.439784188803	0	0
3200.8177413775775	0	0
3203.7137796800143	0	0
3206.425972241159	0	0
3209.1820077602915	0	0
3211.8795829914134	0	0
3214.5133021441006	0	0
3217.148390412633	0	0
3219.8759450189023	0	0
3222.8223113437334	0	0
3225.853313610094	0	0
3228.8434871485556	0	0
3231.766089463865	0	0
3234.5102299935343	0	0
3237.0495745426933	0	0
3239.696945972794	0	0
3242.9306724251446	0	0
3246.6204233932344	0	0
3250.21964442418	0	0
3253.7900100121064	0	0
3257.7247291781305	0	0
3262.0428140405384	0	0
3266.751272196243	0	0
3271.9781594075866	1	0
3277.6347137842868	1	0
3283.408057951414	1	0
3288.9716039466853	0	0
3294.5542825327893	0	0
3300.7343636973824	0	0
3307.5046510828925	0	0
3314.40407273914	0	0
3321.216427798612	0	0
3328.128251906249	0	0
3335.259125167556	0	0
3342.4681309680573	0	0
3349.6481255539043	0	0
3356.637516983739	0	0
3363.306557815732	0	0
3369.724108708525	0	0
3375.9588769695883	0	0
3382.163681553308	0	0
3388.359601858508	0	0
3394.515340650309	0	0
3400.9042383791552	0	0
3407.8236332504925	0	0
3415.2137668016708	0	0
3422.7802888557285	0	0
3430.4271217099144	0	0
3437.9635291578106	0	0
3444.9300983977682	0	0
3451.1947330266516	0	0
3456.810401529806	0	0
3461.8404712483625	0	0
3466.622541549069	0	0
3470.696753231793	0	0
3473.2473489052377	0	0
3474.5111161102595	0	0
3475.004094071225	0	0
3475.433723139345	0	1
3476.6743083264682	0	1
3478.8836844651332	0	1
3481.796928430677	1	1
3485.2215623063184	1	1
3489.017742699729	1	1
3493.0838674390047	1	1
3497.34611822516	1	1
3501.7508629244153	1	1
3506.2591355104096	1	1
3510.8426255074246	1	1
3515.480764150288	1	1
3520.158607355562	1	1
3524.8652976099957	1	1
3529.592946466965	1	1
3534.335822632451	1	1
3539.0897620747655	1	1
3543.851739443887	1	1
3548.619556688977	1	1
3553.3916168252113	1	1
3558.166759564995	1	1
3562.9441418960055	1	1
3567.7231513146103	1	1
3572.503342784271	1	1
3577.2843929304013	1	1
3582.066066757218	1	1
3586.8481934609276	1	1
3591.630648849842	0	1
3596.413342562016	0	1
3601.1962087647944	0	1
3605.979199379023	0	1
3610.7622791305266	0	1
3615.545421919535	0	1
3620.3286081343786	0	1
3625.111822632968	0	1
3629.8950531843034	0	1
3634.6782892096035	0	1
3639.4615206934923	0	1
3644.2447371531725	0	1
3649.027926559488	0	1
3653.8110740988304	0	1
3658.5941606484553	0	1
3663.377160808285	0	1
3668.1600402866206	0	1
3672.942752370687	0	1
3677.7252331187456	0	1
3682.507394778928	0	1
3687.2891167574203	0	1
3692.0702332064157	0	1
3696.8505159543156	0	1
3701.6296510212965	0	1
3706.4072063031094	0	1
3711.1825870969888	0	1
3715.9549748921972	0	1
3720.7232431252587	0	1
3725.485841229038	0	1
3730.2406350414694	0	1
3734.9846871481036	0	1
3739.713954550348	0	1
3744.4228725420626	0	1
3749.167552238122	0	0
3754.271829602626	0	0
3760.0473626820385	0	0
3766.213737221166	0	0
3772.0933372004706	0	0
3777.2106104960817	0	0
3781.6033585093905	0	0
3785.440660173653	0	0
3788.808694300872	0	0
3792.1827695066368	0	0
3795.8072361721424	0	0
3799.2060138300258	0	0
3802.0599108811234	0	0
3804.225234199401	0	0
3805.3587640265455	0	0
3805.397050510014	0	0
3804.4984209377158	0	0
3802.6990399171336	0	0
3800.3283293915065	0	0
3797.5797141935127	0	0
3793.758596825918	0	0
3788.3687664426225	0	0
3781.7303355360946	0	0
3773.9577117422227	0	0
3765.4820367928914	1	0
3757.84572242504	0	0
3752.1194038991744	0	0
3748.206552802116	0	0
3745.910289989684	0	0
3745.020004990469	0	0
3745.0323679180337	0	0
3745.3053734169025	0	0
3745.352498185094	0	0
3744.8698191679546	0	0
3743.91058134233	0	0
3742.8392157022045	0	0
3741.4167969693563	0	0
3739.1109567984163	0	0
3735.607174525159	0	0
3730.5705564036457	0	0
3723.6885601884865	0	0
3714.6902891208438	0	0
3703.8075011592	0	0
3691.6440758666968	0	0
3678.389041682189	0	0
3663.964687128656	0	0
3648.327335747716	0	0
3631.6944307333115	0	0
3614.9318360888697	1	0
3599.2804153539473	1	0
3585.7074905051163	1	1
3574.4738686077408	1	1
3565.184216481323	1	1
3557.306941069908	1	1
3550.455817411976	1	1
