onset_eyetrackfile	event
3473.7	heat
4875.2	heat
6318.8	heat
7466.3	heat
8572.5	heat
9846.9	heat
11332.5	heat
12627.5	heat
13881.0	heat
15303.5	heat
16472.7	heat
17811.2	heat
19000.4	heat
20464.8	heat
21782.2	heat
23141.6	heat
24648.2	heat
25859.2	heat
26986.4	heat
28218.7	heat
