onset_eyetrackfile	event
3526.1	heat
4864.5	heat
6371.1	heat
7751.5	heat
9025.8	heat
10279.2	heat
11406.4	heat
12828.9	heat
14188.4	heat
15357.6	heat
16759.1	heat
18202.0	heat
19519.1	heat
20983.7	heat
22173.9	heat
23658.4	heat
24764.6	heat
25996.9	heat
27145.2	heat
28356.5	heat
