onset_eyetrackfile	event
3419.3	heat
4820.8	heat
6032.1	heat
7222.4	heat
8666.0	heat
10130.5	heat
11404.9	heat
12553.2	heat
13806.6	heat
14912.8	heat
16335.4	heat
17567.7	heat
19053.3	heat
20180.5	heat
21561.0	heat
22878.4	heat
24237.9	heat
25744.4	heat
27082.9	heat
28378.3	heat
