onset_eyetrackfile	event
3741.1	heat
5184.6	heat
6311.1	heat
7774.6	heat
9134.1	heat
10640.6	heat
11978.2	heat
13210.6	heat
14696.2	heat
16118.8	heat
17413.0	heat
18624.2	heat
19814.6	heat
20983.9	heat
22364.5	heat
23766.0	heat
25083.4	heat
26189.7	heat
27464.2	heat
28717.4	heat
