onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr
20.0200741291046	1	heat	48	1	0	Patch4	te-45	2542.0
34.2359130382538	1	heat	48	2	0	Patch4	te-45	3963.6
47.6202831268311	1	heat	48	3	0	Patch4	te-45	5302.0
62.4759240150452	1	heat	48	4	0	Patch4	te-45	6787.6
76.2810139656067	1	heat	48	5	0	Patch4	te-45	8168.1
88.8145639896393	1	heat	48	6	0	Patch4	te-45	9421.5
100.715924024582	1	heat	48	7	0	Patch4	te-45	10611.6
113.659934997559	1	heat	48	8	0	Patch4	te-45	11906.0
127.671891927719	1	heat	48	9	0	Patch4	te-45	13307.2
139.995962142944	1	heat	48	10	0	Patch4	te-45	14539.6
151.268892049789	1	heat	48	11	0	Patch4	te-45	15666.9
162.751446962357	1	heat	48	12	0	Patch4	te-45	16815.2
173.811928033829	1	heat	48	13	0	Patch4	te-45	17921.2
186.986114025116	1	heat	48	14	0	Patch4	te-45	19238.6
199.09906411171	1	heat	48	15	0	Patch4	te-45	20449.9
211.842649936676	1	heat	48	16	0	Patch4	te-45	21724.3
226.907940149307	1	heat	48	17	0	Patch4	te-45	23230.8
241.343289136887	1	heat	48	18	0	Patch4	te-45	24674.4
254.937811136246	1	heat	48	19	0	Patch4	te-45	26033.8
269.583327054977	1	heat	48	20	0	Patch4	te-45	27498.4
