onset_eyetrackfile	event
3528.9	heat
4677.1	heat
5972.5	heat
7140.9	heat
8268.1	heat
9774.7	heat
11239.3	heat
12556.8	heat
13937.2	heat
15275.6	heat
16761.2	heat
18035.6	heat
19289.0	heat
20395.2	heat
21816.6	heat
23048.9	heat
24260.2	heat
25450.4	heat
26809.8	heat
28211.2	heat
