onset_eyetrackfile	event
3122.3	heat
4565.8	heat
5861.2	heat
7367.8	heat
8579.1	heat
9959.5	heat
11212.7	heat
12697.9	heat
13803.9	heat
15077.9	heat
16226.1	heat
17543.5	heat
18882.0	heat
20072.3	heat
21473.7	heat
22938.3	heat
24170.5	heat
25592.7	heat
26720.0	heat
28079.4	heat
